Game Name,Race
Pilotwings 64,https://www.speedrunslive.com/races/result/257617
Wave Race 64,http://www.speedrunslive.com/races/result/258390
Buck Bumble,http://www.speedrunslive.com/races/result/259299
Ridge Racer 64,http://www.speedrunslive.com/races/result/260177
Lego Racers,http://www.speedrunslive.com/races/result/260460
Goldeneye 007,http://www.speedrunslive.com/races/result/261055
007: The World is Not Enough,http://www.speedrunslive.com/races/result/261951
ReVolt,http://www.speedrunslive.com/races/result/262382
Star Wars: Rogue Squadron,http://www.speedrunslive.com/races/result/262825
Super Mario 64,http://www.speedrunslive.com/races/result/263231
Pokemon Snap,http://www.speedrunslive.com/races/result/263667
Mario Kart 64,http://www.speedrunslive.com/races/result/263989
Mario Party,http://www.speedrunslive.com/races/result/264396
Kirby 64,http://www.speedrunslive.com/races/result/264777
Toy Story 2,http://www.speedrunslive.com/races/result/265462
Tony Hawk's Pro Skater,http://www.speedrunslive.com/races/result/265943
Mickey's Speedway USA,http://www.speedrunslive.com/races/result/266444
Snowboard Kids,http://www.speedrunslive.com/races/result/266711
Razor Freestyle Scooter,http://www.speedrunslive.com/races/result/267226
Chameleon Twist,http://www.speedrunslive.com/races/result/268321
Chameleon Twist 2,http://www.speedrunslive.com/races/result/268825
Asteroids Hyper 64,http://www.speedrunslive.com/races/result/269347
A Bug's Life,http://www.speedrunslive.com/races/result/269752
Waialae Country Club: True Golf Classics,http://www.speedrunslive.com/races/result/270099
CyberTiger,http://www.speedrunslive.com/races/result/270153
Yoshi's Story,http://www.speedrunslive.com/races/result/270548
Power Rangers: Lightspeed Rescue,http://www.speedrunslive.com/races/result/271064
Rocket: Robot on Wheels,http://www.speedrunslive.com/races/result/271734
Tarzan,http://www.speedrunslive.com/races/result/272463
Bomberman 64,http://www.speedrunslive.com/races/result/272833
Mortal Kombat Mythologies: Sub-Zero,http://www.speedrunslive.com/races/result/273481
Spider-Man,http://www.speedrunslive.com/races/result/273724
Hercules: The Legendary Journeys,http://www.speedrunslive.com/races/result/274505
Donald Duck: Goin' Quackers,http://www.speedrunslive.com/races/result/275130
Beetle Adventure Racing!,http://www.speedrunslive.com/races/result/275491
Magical Tetris Challenge,http://www.speedrunslive.com/races/result/275722
Tony Hawk's Pro Skater 2,http://www.speedrunslive.com/races/result/275974
Army Men: Sarge's Heroes,http://www.speedrunslive.com/races/result/276466
Star Wars: Shadows of the Empire,http://www.speedrunslive.com/races/result/276542
San Francisco Rush: Extreme Racing,http://www.speedrunslive.com/races/result/276934
Duck Dodgers Starring Daffy Duck,http://www.speedrunslive.com/races/result/277052
Tigger's Honey Hunt,https://www.speedrunslive.com/races/result/277870
Cruis'n USA,https://www.speedrunslive.com/races/result/278388
Cruis'n World,https://www.speedrunslive.com/races/result/277934
AeroFighters Assault,https://www.speedrunslive.com/races/result/278304
Cruis'n Exotica,https://www.speedrunslive.com/races/result/278554
Charlie Blast's Territory,https://www.speedrunslive.com/races/result/278746
Space Invaders,https://www.speedrunslive.com/races/result/278928
Donkey Kong 64,https://www.speedrunslive.com/races/result/279149
Rush 2: Extreme Racing USA,https://www.speedrunslive.com/races/result/279270
1080 Snowboarding,https://www.speedrunslive.com/races/result/279405
San Francisco Rush 2049,https://www.speedrunslive.com/races/result/279412
Knife Edge: NoseGunner,https://www.speedrunslive.com/races/result/280452
Blues Brothers 2000,https://www.speedrunslive.com/races/result/279554
Diddy Kong Racing,https://www.speedrunslive.com/races/result/279610
AeroGauge,https://www.speedrunslive.com/races/result/280435
Automobili Lamborghini,https://www.speedrunslive.com/races/result/280159
California Speed,https://www.speedrunslive.com/races/result/280443
Vigilante 8,https://www.speedrunslive.com/races/result/280464
Banjo-Kazooie,https://www.speedrunslive.com/races/result/280716
Army Men: Sarge's Heroes 2,https://www.speedrunslive.com/races/result/280958
Scooby-Doo! Classic Creep Capers,https://www.speedrunslive.com/races/result/281103
Star Fox 64,https://www.speedrunslive.com/races/result/281244
Monopoly,https://www.speedrunslive.com/races/result/281628
Mario Tennis,https://www.speedrunslive.com/races/result/281508
Mario Golf,https://www.speedrunslive.com/races/result/281762
Wetrix,https://www.speedrunslive.com/races/result/281876
Glover,https://www.speedrunslive.com/races/result/282122
Ms. Pac-Man Maze Madness,https://www.speedrunslive.com/races/result/282261
Ready 2 Rumble Boxing,https://www.speedrunslive.com/races/result/282716
Bomberman 64: The Second Attack!,https://www.speedrunslive.com/races/result/282660
Mia Hamm Soccer 64,https://www.speedrunslive.com/races/result/282717
PGA European Tour,https://www.speedrunslive.com/races/result/282718
Tony Hawk's Pro Skater 3,https://www.speedrunslive.com/races/result/282832
Mischief Makers,https://www.speedrunslive.com/races/result/282962
Star Soldier: Vanishing Earth,https://www.speedrunslive.com/races/result/283198
Madden Football 64,https://www.speedrunslive.com/races/result/283474
Madden NFL 99,https://www.speedrunslive.com/races/result/283435
Madden 2000,https://www.speedrunslive.com/races/result/283477
Madden NFL 2001,https://www.speedrunslive.com/races/result/283469
Madden NFL 2002,https://www.speedrunslive.com/races/result/283245
Mario Party 2,https://www.speedrunslive.com/races/result/283353
Extreme-G,https://www.speedrunslive.com/races/result/283442
Tonic Trouble,https://www.speedrunslive.com/races/result/283594
Pokemon Puzzle League,https://www.speedrunslive.com/races/result/283669
Rugrats Scavenger Hunt,https://www.speedrunslive.com/races/result/283842
Elmo's Letter Adventure,https://www.speedrunslive.com/races/result/284010
Elmo's Number Journey,https://www.speedrunslive.com/races/result/284009
Excitebike 64,https://www.speedrunslive.com/races/result/284011
Blast Corps,https://www.speedrunslive.com/races/result/284143
NASCAR '99,https://www.speedrunslive.com/races/result/284275
Gex 64: Enter the Gecko,https://www.speedrunslive.com/races/result/284397
Namco Museum 64,https://www.speedrunslive.com/races/result/284506
Mortal Kombat Trilogy,https://www.speedrunslive.com/races/result/284940
Mortal Kombat 4,https://www.speedrunslive.com/races/result/284685
Hydro Thunder,https://www.speedrunslive.com/races/result/284725
Bust-A-Move 2: Arcade Edition,https://www.speedrunslive.com/races/result/284756
V-Rally: Edition '99,https://www.speedrunslive.com/races/result/284938
Space Station Silicon Valley,https://www.speedrunslive.com/races/result/285080
Wayne Gretzky's 3D Hockey,https://www.speedrunslive.com/races/result/285360
NBA Hangtime,https://www.speedrunslive.com/races/result/285361
In-Fisherman Bass Hunter 64,https://www.speedrunslive.com/races/result/285173
Forsaken 64,https://www.speedrunslive.com/races/result/285175
War Gods,https://www.speedrunslive.com/races/result/285363
Xena: Warrior Princess: Talisman of Fate,https://www.speedrunslive.com/races/result/285362
Duke Nukem 64,https://www.speedrunslive.com/races/result/285359
Top Gear Overdrive,https://www.speedrunslive.com/races/result/286127
Golden Nugget 64,https://racetime.gg/n64mania/mega-glitch-9265
International Track & Field 2000,https://racetime.gg/n64mania/splendid-stardrop-8703
Bomerman Hero,https://racetime.gg/n64mania/vanilla-conker-5153
Iggy's Reckin' Balls,https://racetime.gg/n64mania/tasty-celeste-7917
Star Wars Episode I: Battle for Naboo,https://racetime.gg/n64mania/gnarly-ken-4339
Earthworm Jim 3D,https://racetime.gg/n64mania/hungry-metroid-5280
Tom & Jerry in: Fists of Furry,https://racetime.gg/n64mania/powerful-fortress-2923
The Powerpuff Girls: Chemical X-Traction,https://racetime.gg/n64mania/proud-misty-4233
Rampage: World Tour,https://racetime.gg/n64mania/priceless-vivi-6709
Tetrisphere,https://racetime.gg/n64mania/vanilla-pichu-0424
Hot Wheels Turbo Racing,https://racetime.gg/n64mania/superb-wiggler-2967
Sin & Punishment,https://racetime.gg/n64mania/virtual-cheat-0469
Resident Evil 2,https://racetime.gg/n64mania/dizzy-mario-7696
WWF No Mercy,https://racetime.gg/n64mania/good-twist-2074
Bust-A-Move '99,https://racetime.gg/n64mania/dapper-impossible-9238
Rat Attack!,https://racetime.gg/n64mania/smart-sevenk-6396
WinBack,https://racetime.gg/n64mania/gorgeous-cruisin-6860
WinBack (Part 2),https://racetime.gg/n64mania/perfect-hercules-8389
MRC: Multi Racing Championship,https://racetime.gg/n64mania/powerful-rumble-1298
Roadsters,https://racetime.gg/n64mania/swag-sevenk-3219
Power Rangers Lightspeed Rescue,https://racetime.gg/n64mania/mega-blast-6673
NASCAR 2000,https://racetime.gg/n64mania/clean-cruisin-4213
Nagano Winter Olympics '98,https://racetime.gg/n64mania/magnificent-mario-6885
NFL Quarterback Club '98,https://racetime.gg/n64mania/secret-pretzel-7283
NFL Quarterback Club '99,https://racetime.gg/n64mania/mini-pak-4235
NFL Quarterback Club 2000,https://racetime.gg/n64mania/gnarly-salmoneus-9950
NFL Quarterback Club 2001,https://racetime.gg/n64mania/odd-cruisin-8136
Paperboy,https://racetime.gg/n64mania/salty-netherrealm-8363
Big Mountain 2000,https://racetime.gg/n64mania/amused-worm-0752
Midway's Greatest Arcade Hits Vol.1,https://racetime.gg/n64mania/prudent-subzero-8542
Batman Beyond: Return of the Joker,https://racetime.gg/n64mania/secret-automobili-5962
Paper Mario (Ch. 1-4),https://racetime.gg/n64mania/tasty-rocket-2351
Paper Mario (Ch. 5-6),https://racetime.gg/n64mania/sublime-rumble-8752
Paper Mario (Ch. 7-8),https://racetime.gg/n64mania/comic-beaverbother-4255
All Star Baseball '99,https://racetime.gg/n64mania/mini-conker-0023
All-Star Baseball 2000,https://racetime.gg/n64mania/adequate-naboo-9777
All-Star Baseball 2001,https://racetime.gg/n64mania/invincible-glover-4188
BattleTanx,https://racetime.gg/n64mania/elegant-worm-1889
The New Tetris,https://racetime.gg/n64mania/hyper-blast-7912
Mace: The Dark Age,https://racetime.gg/n64mania/classic-glove-1943
Dual Heroes,https://racetime.gg/n64mania/puzzled-impossible-9829
NBA In the Zone '98,https://racetime.gg/n64mania/jolly-kong-6781
NBA In the Zone '99,https://racetime.gg/n64mania/smart-goemon-3867
NBA In the Zone 2000,https://racetime.gg/n64mania/odd-dinosaur-9151
Indy Racing 2000,https://racetime.gg/n64mania/clean-automobili-9927
Turok 2: Seeds of Evil,https://racetime.gg/n64mania/magnificent-pan-1297
Star Wars: Episode 1: Racer,https://racetime.gg/n64mania/calm-pain-0042
Milo's Astro Lanes,https://racetime.gg/n64mania/tactical-automobili-2672
Destruction Derby 64,https://racetime.gg/n64mania/frantic-turok-1679
Extreme-G 2,https://racetime.gg/n64mania/dapper-bomber-7397
Nuclear Strike 64,https://racetime.gg/n64mania/puzzled-clyde-7931
Monster Truck Madness 64,https://racetime.gg/n64mania/legendary-dinosaur-2004
Off Road Challenge,https://racetime.gg/n64mania/gorgeous-glover-5873
Quake 64,https://racetime.gg/n64mania/adequate-nutta-6610
Army Men: Air Combat,https://racetime.gg/n64mania/casual-twine-6327
Chopper Attack,https://racetime.gg/n64mania/saucy-blast-7839
Wheel of Fortune,https://racetime.gg/n64mania/magnificent-turok-0510
StarCraft 64,https://racetime.gg/n64mania/foolish-nutta-1850
Gex 3: Deep Cover Gecko,https://racetime.gg/n64mania/clean-mario-7915
Superman 64,https://racetime.gg/n64mania/jolly-twanky-8655
Castlevania 64,https://racetime.gg/n64mania/dynamax-kong-5605
